,name,text
0,Tiger Pro 72HCBDVP 530550 Watt Bifacial Module with Dual Glass 550W,name: Tiger Pro 72HCBDVP 530550 Watt Bifacial Module with Dual Glass 550W; Manufacturer (Brand): Jinko Solar; Cell Type: Monocrystalline; Cell Dimensions: 2278 x 1134 x 30mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 550.0; weight: 14.51; product url: [Tiger Pro 72HC-BDVP. 530-550 Watt. Bifacial Module with Dual Glass (550W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-pro-72hc-bdvp-530-550-watt-bifacial-module-with-dual-glass-550w-)
1,RSM408390M415M  390  415 Watt 390W Steel,name: RSM408390M415M  390  415 Watt 390W Steel; Manufacturer (Brand): Risen Energy; Cell Type: Monocrystalline; Cell Dimensions: 1754 x 1096 x 30mm; Number of cells: 120.0; Application: Residential; minimum wattage: 390.0; weight: 22.0; product url: [RSM40-8-390M-415M - 390 - 415 Watt (390W) Steel](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-rsm40-8-390m-415m-390-415-watt-390w-steel)
2,Mono 470W MBB HalfCell Module  445  470 Watt 470W,name: Mono 470W MBB HalfCell Module  445  470 Watt 470W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2112 x 1052 x 35mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 470.0; weight: 24.5; product url: [Mono 470W MBB Half-Cell Module - 445 - 470 Watt (470W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-mono-470w-mbb-half-cell-module-445-470-watt-470w-)
3,BiHiKu 435  460 Watt High Power Bifacial Monocrystalline PERC  440W,name: BiHiKu 435  460 Watt High Power Bifacial Monocrystalline PERC  440W; Manufacturer (Brand): Canadian Solar; Cell Type: Monocrystalline; Cell Dimensions: 2132 x 1048 x 30mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 440.0; weight: 10.43; product url: [BiHiKu. 435 - 460 Watt. High Power Bifacial Monocrystalline PERC.  (440W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-bihiku-435-460-watt-high-power-bifacial-monocrystalline-perc-440w-)
4,LG NeON R 60 cell Monocrystalline 365W  385 Watt 385W,name: LG NeON R 60 cell Monocrystalline 365W  385 Watt 385W; Manufacturer (Brand): LG Solar; Cell Type: Monocrystalline; Cell Dimensions: 1700 x 1016 x 40mm; Number of cells: 60.0; Application: Residential; minimum wattage: 385.0; weight: 17.5; product url: [LG NeON R 60 cell Monocrystalline 365W - 385 Watt (385W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-lg-neon-r-60-cell-monocrystalline-365w-385-watt-385w-)
5,Monocrystalline PV Module  Astro 5s  390  405 Watt 395W,name: Monocrystalline PV Module  Astro 5s  390  405 Watt 395W; Manufacturer (Brand): Astronergy; Cell Type: Monocrystalline; Cell Dimensions: 1708 x 1133 x 30mm; Number of cells: nan; Application: Residential; minimum wattage: 395.0; weight: 21.5; product url: [Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (395W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-monocrystalline-pv-module-astro-5s-390-405-watt-395w-)
6,Tiger N Type 66TR 390410 Watt MonoFacial Module  400W,name: Tiger N Type 66TR 390410 Watt MonoFacial Module  400W; Manufacturer (Brand): Jinko Solar; Cell Type: Monocrystalline; Cell Dimensions: 1855 x 1029 x 30mm; Number of cells: 132.0; Application: Residential; minimum wattage: 400.0; weight: 9.43; product url: [Tiger N Type 66TR. 390-410 Watt. Mono-Facial Module.  (400W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-n-type-66tr-390-410-watt-mono-facial-module-400w-)
7,Tiger 78TR 470490 Watt MonoFacial Module  490W,name: Tiger 78TR 470490 Watt MonoFacial Module  490W; Manufacturer (Brand): Jinko Solar; Cell Type: Monocrystalline; Cell Dimensions: 2182 x 1029 x 35mm; Number of cells: 156.0; Application: Commercial; minimum wattage: 490.0; weight: 11.34; product url: [Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (490W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-78tr-470-490-watt-mono-facial-module-490w-)
8,Tiger Neo Ntype 54HL4  V 410430 Watt MonoFacial Module NType 420W,name: Tiger Neo Ntype 54HL4  V 410430 Watt MonoFacial Module NType 420W; Manufacturer (Brand): Jinko Solar; Cell Type: N-type Monocrystalline; Cell Dimensions: 1722 x 1134 x 30mm; Number of cells: 108.0; Application: Commercial; minimum wattage: 420.0; weight: 9.98; product url: [Tiger Neo N-type 54HL4 - (V). 410-430 Watt. Mono-Facial Module. N-Type. (420W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-tiger-neo-n-type-54hl4-v-410-430-watt-mono-facial-module-n-type-420w-)
9,DEEP BLUE 30  JAM72S30  530  555 Watt 555W,name: DEEP BLUE 30  JAM72S30  530  555 Watt 555W; Manufacturer (Brand): JA Solar; Cell Type: Monocrystalline; Cell Dimensions: 2278 x 1134 x 35mm; Number of cells: 144.0; Application: Commercial; minimum wattage: 555.0; weight: 28.1; product url: [DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (555W)](https://inxeptionmarketplace-crate.inxeption.io/purl/inxeptionenergymarketplace-deep-blue-3-0-jam72s30-530-555-watt-555w-)
